Game Number,Bot 1 Level,Bot 2 Level,Round,Diamond,Bot 1 Play,Bot 2 Play,Winner,Points Awarded
15,medium,expert,4,11 ♦,"['11 ♠', '11 ♣']",11 ♣,"['bot1', 'bot2']",11
15,medium,expert,5,5 ♦,"['5 ♠', '2 ♣']",2 ♣,bot1,5
15,medium,expert,6,2 ♦,"['2 ♠', '3 ♣']",3 ♣,bot2,2
15,medium,expert,7,8 ♦,"['8 ♠', '4 ♣']",4 ♣,bot1,8
15,medium,expert,8,4 ♦,"['4 ♠', '5 ♣']",5 ♣,bot2,4
15,medium,expert,9,3 ♦,"['3 ♠', '6 ♣']",6 ♣,bot2,3
15,medium,expert,10,6 ♦,"['6 ♠', '7 ♣']",7 ♣,bot2,6
15,medium,expert,11,7 ♦,"['7 ♠', '8 ♣']",8 ♣,bot2,7
15,medium,expert,12,10 ♦,"['10 ♠', '10 ♣']",10 ♣,"['bot1', 'bot2']",10
15,medium,expert,13,9 ♦,"['9 ♠', '9 ♣']",9 ♣,"['bot1', 'bot2']",9

Game Number,15,Final Scores
bot1,41.0
bot2,50.0
Winner,bot2

16,medium,expert,1,6 ♦,"['6 ♠', '1 ♣']",1 ♣,bot1,6
16,medium,expert,2,8 ♦,"['8 ♠', '2 ♣']",2 ♣,bot1,8
16,medium,expert,3,10 ♦,"['10 ♠', '10 ♣']",10 ♣,"['bot1', 'bot2']",10
16,medium,expert,4,4 ♦,"['4 ♠', '3 ♣']",3 ♣,bot1,4
16,medium,expert,5,5 ♦,"['5 ♠', '4 ♣']",4 ♣,bot1,5
16,medium,expert,6,2 ♦,"['2 ♠', '5 ♣']",5 ♣,bot2,2
16,medium,expert,7,13 ♦,"['13 ♠', '13 ♣']",13 ♣,"['bot1', 'bot2']",13
16,medium,expert,8,7 ♦,"['7 ♠', '6 ♣']",6 ♣,bot1,7
16,medium,expert,9,9 ♦,"['9 ♠', '7 ♣']",7 ♣,bot1,9
16,medium,expert,10,1 ♦,"['1 ♠', '8 ♣']",8 ♣,bot2,1
16,medium,expert,11,3 ♦,"['3 ♠', '9 ♣']",9 ♣,bot2,3
16,medium,expert,12,11 ♦,"['11 ♠', '11 ♣']",11 ♣,"['bot1', 'bot2']",11
16,medium,expert,13,12 ♦,"['12 ♠', '12 ♣']",12 ♣,"['bot1', 'bot2']",12

Game Number,16,Final Scores
bot1,62.0
bot2,29.0
Winner,bot1

17,medium,expert,1,1 ♦,"['1 ♠', '1 ♣']",1 ♣,"['bot1', 'bot2']",1
17,medium,expert,2,12 ♦,"['12 ♠', '12 ♣']",12 ♣,"['bot1', 'bot2']",12
17,medium,expert,3,10 ♦,"['10 ♠', '10 ♣']",10 ♣,"['bot1', 'bot2']",10
17,medium,expert,4,3 ♦,"['3 ♠', '2 ♣']",2 ♣,bot1,3
17,medium,expert,5,6 ♦,"['6 ♠', '3 ♣']",3 ♣,bot1,6
17,medium,expert,6,13 ♦,"['13 ♠', '13 ♣']",13 ♣,"['bot1', 'bot2']",13
17,medium,expert,7,9 ♦,"['9 ♠', '4 ♣']",4 ♣,bot1,9
17,medium,expert,8,4 ♦,"['4 ♠', '5 ♣']",5 ♣,bot2,4
17,medium,expert,9,5 ♦,"['5 ♠', '6 ♣']",6 ♣,bot2,5
17,medium,expert,10,11 ♦,"['11 ♠', '11 ♣']",11 ♣,"['bot1', 'bot2']",11
17,medium,expert,11,8 ♦,"['8 ♠', '7 ♣']",7 ♣,bot1,8
17,medium,expert,12,7 ♦,"['7 ♠', '8 ♣']",8 ♣,bot2,7
17,medium,expert,13,2 ♦,"['2 ♠', '9 ♣']",9 ♣,bot2,2

Game Number,17,Final Scores
bot1,49.5
bot2,41.5
Winner,bot1

18,medium,expert,1,5 ♦,"['5 ♠', '1 ♣']",1 ♣,bot1,5
18,medium,expert,2,1 ♦,"['1 ♠', '2 ♣']",2 ♣,bot2,1
18,medium,expert,3,2 ♦,"['2 ♠', '3 ♣']",3 ♣,bot2,2
18,medium,expert,4,13 ♦,"['13 ♠', '13 ♣']",13 ♣,"['bot1', 'bot2']",13
18,medium,expert,5,10 ♦,"['10 ♠', '10 ♣']",10 ♣,"['bot1', 'bot2']",10
18,medium,expert,6,6 ♦,"['6 ♠', '4 ♣']",4 ♣,bot1,6
18,medium,expert,7,3 ♦,"['3 ♠', '5 ♣']",5 ♣,bot2,3
18,medium,expert,8,8 ♦,"['8 ♠', '6 ♣']",6 ♣,bot1,8
18,medium,expert,9,4 ♦,"['4 ♠', '7 ♣']",7 ♣,bot2,4
18,medium,expert,10,7 ♦,"['7 ♠', '8 ♣']",8 ♣,bot2,7
18,medium,expert,11,11 ♦,"['11 ♠', '11 ♣']",11 ♣,"['bot1', 'bot2']",11
18,medium,expert,12,12 ♦,"['12 ♠', '12 ♣']",12 ♣,"['bot1', 'bot2']",12
18,medium,expert,13,9 ♦,"['9 ♠', '9 ♣']",9 ♣,"['bot1', 'bot2']",9

Game Number,18,Final Scores
bot1,46.5
bot2,44.5
Winner,bot1

19,medium,expert,1,13 ♦,"['13 ♠', '13 ♣']",13 ♣,"['bot1', 'bot2']",13
19,medium,expert,2,6 ♦,"['6 ♠', '1 ♣']",1 ♣,bot1,6
19,medium,expert,3,9 ♦,"['9 ♠', '2 ♣']",2 ♣,bot1,9
19,medium,expert,4,2 ♦,"['2 ♠', '3 ♣']",3 ♣,bot2,2
19,medium,expert,5,4 ♦,"['4 ♠', '4 ♣']",4 ♣,"['bot1', 'bot2']",4
19,medium,expert,6,7 ♦,"['7 ♠', '5 ♣']",5 ♣,bot1,7
19,medium,expert,7,3 ♦,"['3 ♠', '6 ♣']",6 ♣,bot2,3
19,medium,expert,8,1 ♦,"['1 ♠', '7 ♣']",7 ♣,bot2,1
19,medium,expert,9,12 ♦,"['12 ♠', '12 ♣']",12 ♣,"['bot1', 'bot2']",12
19,medium,expert,10,10 ♦,"['10 ♠', '10 ♣']",10 ♣,"['bot1', 'bot2']",10
19,medium,expert,11,5 ♦,"['5 ♠', '8 ♣']",8 ♣,bot2,5
19,medium,expert,12,11 ♦,"['11 ♠', '11 ♣']",11 ♣,"['bot1', 'bot2']",11
19,medium,expert,13,8 ♦,"['8 ♠', '9 ♣']",9 ♣,bot2,8

Game Number,19,Final Scores
bot1,47.0
bot2,44.0
Winner,bot1

20,medium,expert,1,12 ♦,"['12 ♠', '12 ♣']",12 ♣,"['bot1', 'bot2']",12
20,medium,expert,2,3 ♦,"['3 ♠', '1 ♣']",1 ♣,bot1,3
20,medium,expert,3,5 ♦,"['5 ♠', '2 ♣']",2 ♣,bot1,5
20,medium,expert,4,8 ♦,"['8 ♠', '3 ♣']",3 ♣,bot1,8
20,medium,expert,5,11 ♦,"['11 ♠', '11 ♣']",11 ♣,"['bot1', 'bot2']",11
20,medium,expert,6,6 ♦,"['6 ♠', '4 ♣']",4 ♣,bot1,6
20,medium,expert,7,13 ♦,"['13 ♠', '13 ♣']",13 ♣,"['bot1', 'bot2']",13
20,medium,expert,8,10 ♦,"['10 ♠', '10 ♣']",10 ♣,"['bot1', 'bot2']",10
20,medium,expert,9,4 ♦,"['4 ♠', '5 ♣']",5 ♣,bot2,4
20,medium,expert,10,7 ♦,"['7 ♠', '6 ♣']",6 ♣,bot1,7
20,medium,expert,11,1 ♦,"['1 ♠', '7 ♣']",7 ♣,bot2,1
20,medium,expert,12,2 ♦,"['2 ♠', '8 ♣']",8 ♣,bot2,2
20,medium,expert,13,9 ♦,"['9 ♠', '9 ♣']",9 ♣,"['bot1', 'bot2']",9

Game Number,20,Final Scores
bot1,56.5
bot2,34.5
Winner,bot1

